#DH	INJV	Xt	Mt	XMt	NDH
#-3.82823	2.0005	0.00069428	0.01498	0.04635	-3827.27318
-24.15053	10	0.00415	0.01488	0.27901	-4830.106
-23.91314	10	0.00758	0.01477	0.51327	-4782.628
-24.13932	10	0.01099	0.01467	0.74914	-4827.864
-24.87437	10	0.01437	0.01457	0.98662	-4974.874
-24.18964	10	0.01773	0.01447	1.22571	-4837.928
-24.56194	10	0.02107	0.01437	1.46641	-4912.388
-24.81151	10	0.02438	0.01427	1.70871	-4962.302
-24.62602	10	0.02767	0.01417	1.95262	-4925.204
-25.06259	10	0.03093	0.01407	2.19814	-5012.518
-24.92056	10	0.03417	0.01397	2.44527	-4984.112
-24.394	10	0.03738	0.01388	2.69401	-4878.8
-24.71186	10	0.04057	0.01378	2.94436	-4942.372
-24.29512	10	0.04374	0.01368	3.19631	-4859.024
-24.02901	10	0.04688	0.01359	3.44987	-4805.802
-23.63386	10	0.05	0.0135	3.70504	-4726.772
-22.27487	10	0.0531	0.0134	3.96182	-4454.974
-20.40547	10	0.05617	0.01331	4.22021	-4081.094
-16.63421	10	0.05921	0.01322	4.4802	-3326.842
-12.26174	10	0.06223	0.01312	4.7418	-2452.348
-7.15582	10	0.06523	0.01303	5.00501	-1431.164
-4.28445	10	0.06821	0.01294	5.26983	-856.89
-2.70218	10	0.07116	0.01285	5.53626	-540.436
-2.00736	10	0.07408	0.01276	5.8043	-401.472
-1.71915	10	0.07698	0.01267	6.07394	-343.83
-1.02736	10	0.07986	0.01259	6.34519	-205.472
-1.23463	10	0.08271	0.0125	6.61805	-246.926
-0.7878	10	0.08554	0.01241	6.89252	-157.56
-0.97212	10	0.08835	0.01232	7.1686	-194.424
