#DH	INJV	Xt	Mt	XMt	NDH
#-3.09368	2.0005	0.00069428	0.00749	0.0927	-3092.9072
-22.29952	10	0.00415	0.00744	0.55801	-4459.90313
-22.22634	10	0.00758	0.00739	1.02654	-4445.26877
-22.7532	10	0.01099	0.00734	1.49828	-4550.639
-22.93485	10	0.01437	0.00728	1.97324	-4586.96924
-22.42777	10	0.01773	0.00723	2.45142	-4485.55315
-21.82012	10	0.02107	0.00718	2.93281	-4364.02495
-21.34538	10	0.02438	0.00713	3.41742	-4269.07695
-19.63011	10	0.02767	0.00708	3.90525	-3926.02177
-16.97244	10	0.03093	0.00704	4.39629	-3394.48757
-11.15808	10	0.03417	0.00699	4.89055	-2231.61612
-5.93927	10	0.03738	0.00694	5.38802	-1187.85381
-2.69324	10	0.04057	0.00689	5.88871	-538.64753
-1.6172		10	0.04374	0.00684	6.39262	-323.44017
-1.92868	10	0.04688	0.0068	6.89974	-385.73697
-0.86571	10	0.05	0.00675	7.41008	-173.14103
-0.39138	10	0.0531	0.0067	7.92364	-78.27657
-0.62207	10	0.05617	0.00665	8.44041	-124.41473
-0.52645	10	0.05921	0.00661	8.9604	-105.29085
-0.3357		10	0.06223	0.00656	9.48361	-67.13997
-0.51069	10	0.06523	0.00652	10.01003 -102.13734
-0.50654	10	0.06821	0.00647	10.53967 -101.30888
-0.55141	10	0.07116	0.00643	11.07252 -110.28284
0.04618		10	0.07408	0.00638	11.60859 9.23514
-0.23476	10	0.07698	0.00634	12.14788 -46.95195
-0.40699	10	0.07986	0.00629	12.69038 -81.39781
-0.59999	10	0.08271	0.00625	13.2361	-119.99818
-0.11315	10	0.08554	0.00621	13.78504 -22.62904
-0.43027	10	0.08835	0.00616	14.33719 -86.05397
